Date,Open,High,Low,Close,Adj Close,Volume,SMAAC_7,SMAAC_12,SMAAC_21,SMAAC_26,SMAAC_50,SMAAC_100,SMAAC_200,EMAAC_7,EMAAC_12,EMAAC_21,EMAAC_26,EMAAC_50,EMAAC_100,EMAAC_200,MACD,TR,SMATR_14,SATR_14,DX,SADX_14,PSAR,CT,CHAC,RS,RSI,SO_5,SO_14,WR_5,WR_14,ROCAC_1,ROCAC_7,ROCAC_12,ROCAC_14,ROCAC_21,ROCAC_26,ROCAC_50,ROCAC_100,ROCAC_200,MOM_1,MOM_7,MOM_12,MOM_14,MOM_21,MOM_26,MOM_50,MOM_100,MOM_200,VARAC_14,STDEVAC_14,LBB_20,UBB_20,VI_14,CV_12,OBV,COBV,ACCDIST,CMF
39008,918.859985,927.219971,918.859985,924.02002,924.02002,307269900,922.0500053,917.2458343,909.7581002,905.330773,892.8821997,863.3981012,865.3786993,920.5138627,917.0216514,910.5684992,907.2726647,894.2292105,878.4260514,866.0255559,12.72398217,11.549988,6.5592825,7.599534787,20.32851316,22.91840229,915.25,0,-8.350037,-0.478207954,-91.64722936,0.732668442,0.886486074,0.267331558,0.267331558,0.009119046,0.010874325,0.019360872,0.01887749,0.031986436,0.043253432,0.077624608,0.093191387,0.105564848,8.350037,9.940003,17.550049,17.119996,28.640015,38.309998,38.309998,78.77002,88.230042,54.37988326,7.374271711,888.7418118,932.2121982,0.018608188,0.000389751,13038369300,0.024135378,1.5929E+13,54807.52299
39009,920.349976,927.099976,919.150024,924.340027,924.340027,269082400,922.8214374,919.0150045,911.1371489,906.8165424,894.2197998,864.1890015,865.8214496,921.4704037,918.1475553,911.8204563,908.5369137,895.4100268,879.3352391,866.6057994,12.06033362,7.949952,6.714991929,7.536353154,20.32851316,22.73341021,915.25,0,-0.320007,-0.476175912,-90.90378279,0.759402592,0.897837888,0.240597408,0.240597408,0.00034632,0.005876363,0.023507704,0.019028101,0.029584082,0.044770775,0.076328381,0.092045455,0.110198293,0.320007,5.400025,21.230042,17.26001,26.559998,39.610047,39.610047,77.910034,91.75,52.76137039,7.263702251,890.0896111,933.5203987,0.018599697,0.000389272,13307451700,0.020637734,1.59919E+13,55093.18277
39010,926.150024,929.5,923.049988,925.390015,925.390015,289210800,923.6957224,920.4066723,912.4519101,908.3803899,895.5518006,864.9786017,866.2854495,922.4503066,919.2617799,913.0540525,909.7852916,896.5857126,880.2472148,867.190717,11.77126674,6.450012,6.674992143,7.474827368,24.31704735,22.84652715,915.4893994,0,-1.049988,-0.443528118,-79.703599,0.71158,0.86511359,0.28842,0.28842,0.001135933,0.006657451,0.018378119,0.020872224,0.041507698,0.040886842,0.06603155,0.101982751,0.104719082,1.049988,6.119995,16.700013,18.920044,36.880005,36.350037,36.350037,85.640015,87.720032,48.08925279,6.934641504,893.9935703,933.30444,0.018484665,0.000400931,13596662500,0.021732996,1.60751E+13,55397.36541
39013,927.650024,931.840027,923.289978,930.809998,930.809998,214346100,924.4571536,921.8350068,914.4661953,909.9869292,896.8066004,865.8892017,866.7511496,924.5402294,921.0384288,914.6682294,911.3426773,897.9278414,881.2484581,867.8237446,12.54465853,8.550049,6.7542855,7.423360091,28.09667766,23.2215379,916.0498234,0,-5.419983,-0.297310377,-42.31034115,0.937912759,0.964432727,0.062087241,0.062087241,0.005856972,0.005759193,0.018759525,0.030671805,0.046441819,0.045936203,0.05942411,0.133282158,0.109943853,5.419983,5.330018,17.140015,27.700013,41.309998,40.880005,40.880005,109.469971,92.200013,38.73620787,6.22384189,898.0641224,933.3648877,0.018091012,0.000400117,13811008600,0.015764611,1.6122E+13,56148.34806
39014,930.169983,931.419983,928.51001,930.219971,930.219971,289186200,925.225717,923.2658388,916.4052415,911.5365437,897.8390003,866.9780011,867.2091995,925.9601648,922.4509738,916.0820241,912.7409953,899.1941995,882.218191,868.4446026,12.42113301,2.909973,6.475712357,7.355670967,28.09667766,23.56976217,916.9972357,0,0.590027,-0.363770962,-57.17610183,0.875188694,0.927188494,0.124811306,0.124811306,-0.000633886,0.005817162,0.018805085,0.023693415,0.032270186,0.05196371,0.054324535,0.125370426,0.117488756,-0.590027,5.379944,17.169983,21.529969,29.079956,45.949951,45.949951,103.629944,97.799988,33.73263418,5.807980215,899.7708557,934.56615,0.017769897,0.000394081,13521822400,-0.020938818,1.63072E+13,56236.21852
39015,930.51001,934.130005,928.960022,933.450012,933.450012,274618700,926.2714323,924.880005,917.9438128,913.4280818,898.862201,868.046601,867.7143497,927.8326266,924.1431335,917.6609321,914.2749966,900.5375647,883.2326825,869.0914226,11.90126952,5.169983,6.347141786,7.283633169,32.61654654,24.21596105,917.8878031,0,-3.230041,-0.383608197,-62.23447397,0.954606551,0.972290399,0.045393449,0.045393449,0.003472341,0.007903866,0.0211907,0.021648986,0.031197169,0.042518268,0.057781643,0.162004723,0.118413191,3.230041,7.320007,19.369995,19.780029,28.23999,38.070007,38.070007,130.140014,98.830017,36.56640883,6.047016523,900.7165831,936.4444216,0.017444651,0.000411284,13796441100,0.020309296,1.64066E+13,57125.19862
39016,938.640015,939.679993,934.099976,935.549988,935.549988,322472000,929.111433,926.2641705,919.3885731,914.9730812,899.9240003,869.3690009,868.2189996,929.761967,925.8980342,919.2872099,915.8509218,901.9106009,884.2686687,869.7527019,11.83469313,6.229981,6.4378575,7.223220621,40.82097935,25.40203379,919.1871793,0,-2.099976,-0.341912879,-51.95556444,0.751653412,0.862516377,0.248346588,0.248346588,0.002249693,0.021710884,0.018075158,0.024642681,0.031591094,0.042070393,0.060413701,0.146690029,0.131107114,2.099976,19.880005,16.609986,22.5,28.649964,37.769959,37.769959,119.679993,108.440003,37.31482472,6.108586147,901.5409303,938.4850708,0.017301465,0.000427686,14118913100,0.023373564,1.65151E+13,58251.18934
39017,937.159973,937.159973,926.25,929.900024,929.900024,274194100,929.9514336,927.1500042,920.4838112,916.2084656,900.8770008,870.5093012,868.7329498,929.7964812,926.5137249,920.2520112,916.8915961,903.0082253,885.1722599,870.3511827,11.32709224,10.909973,6.887141643,7.19921498,18.78989966,24.92973849,921.2364607,0,5.649964,-0.52291858,-109.6078276,0.403297129,0.632331661,0.596702871,0.596702871,-0.00603919,0.006363503,0.011563527,0.017307026,0.025157656,0.046583621,0.058316132,0.150097768,0.131389148,-5.649964,5.880004,10.630004,15.820007,22.820007,41.390014,41.390014,121.360046,107.990051,29.52754226,5.433925125,903.206631,939.1013708,0.018869621,0.000410778,13844719000,-0.019420341,1.65621E+13,58664.42751
39020,923.130005,926.359985,921.150024,925.580017,925.580017,220390400,930.128575,927.1583406,921.3647636,917.6342351,901.8154016,871.6797015,869.2513001,928.7423652,926.3700776,920.7363753,917.5351828,903.8933936,885.9724135,870.9007233,9.912910027,8.75,7.133571071,7.194526129,7.070077421,23.65404841,939.679993,1,4.320007,-0.765370395,-326.2036757,0.239071798,0.469925236,0.760928202,0.760928202,-0.004645668,0.001341487,0.000108092,0.007225733,0.02108183,0.040562133,0.050017615,0.169828479,0.118120356,-4.320007,1.23999,0.100037,6.640015,19.110046,36.080017,36.080017,134.369995,97.780029,25.75425573,5.074865095,905.3987305,938.8202759,0.019156064,0.000381788,13624328600,-0.015918734,1.66406E+13,58996.63409
39021,923.719971,928.119995,922.419983,924.099976,924.099976,279522700,929.9442837,927.0966697,922.2042876,918.9650034,902.6676014,873.0086011,869.7328,927.5817679,926.0208312,921.0421572,918.0214638,904.6858086,886.7274148,871.4300691,8.607229894,5.700012,7.097856786,7.187621176,10.35700075,22.7042593,939.3093936,1,1.480041,-0.827316368,-479.0936812,0.159198971,0.362258638,0.840801029,0.840801029,-0.001599042,-0.001394049,-0.000800194,0.005254121,0.023241899,0.025478794,0.056114258,0.170576578,0.125016747,-1.480041,-1.290039,-0.740051,4.829956,20.989991,22.959961,22.959961,134.659974,102.690003,22.33015734,4.725479588,908.8957568,937.4222487,0.019264682,0.000351822,13344805900,-0.020516439,1.67315E+13,59039.74065
